location,,,,경도,위도
서울특별시 강북구 수유동 도봉로,,,,127.0278629,37.6234809
서울특별시 강북구 미아동 덕릉로,,,,127.0296602,37.6348409
서울특별시 강북구 번동 월계로,,,,127.0457685,37.62201214
서울특별시 강북구 수유동 한천로159길,,,,127.0193464,37.6444928
서울특별시 강북구 미아동 오패산로,,,,127.0352002,37.61205108
서울특별시 강북구 미아동 삼양로58길,,,,127.0199155,37.62654697
서울특별시 강북구 번동 한천로132길,,,,127.0303341,37.64074094
서울특별시 강북구 번동 한천로109길,,,,127.0399663,37.62653321
서울특별시 강북구 수유동 4.19로,,,,127.0070652,37.64585164
서울특별시 강북구 미아동 솔매로,,,,127.0154899,37.62547058
서울특별시 강북구 미아동 노해로,,,,127.0245803,37.64631298
서울특별시 강북구 미아동 솔샘로48길,,,,127.0182205,37.61939613
서울특별시 강북구 미아동 월계로21나길,,,,127.0382443,37.61665576
서울특별시 강북구 우이동 삼양로,,,,127.0195483,37.62293388
서울특별시 강북구 미아동 월계로,,,,127.0457685,37.62201214
서울특별시 강북구 수유동 수유로,,,,127.0196868,37.6337433
서울특별시 강북구 번동 덕릉로,,,,127.0296602,37.6348409
서울특별시 강북구 미아동 오패산로52사길,,,,127.0324344,37.6271845
서울특별시 강북구 번동 오현로,,,,127.0379712,37.62722507
서울특별시 강북구 미아동 오현로9길,,,,127.0328543,37.62050833
서울특별시 강북구 번동 오현로31길,,,,127.0344548,37.63237673
서울특별시 강북구 수유동 한천로139길,,,,127.0257523,37.63928592
서울특별시 강북구 미아동 도봉로8길,,,,127.0320712,37.61205279
서울특별시 강북구 번동 오패산로,,,,127.0352002,37.61205108
서울특별시 강북구 미아동 솔매로49길,,,,127.0261607,37.62829803
서울특별시 강북구 수유동 덕릉로,,,,127.0296602,37.6348409
서울특별시 강북구 우이동 삼양로173길,,,,127.01081,37.66232769
서울특별시 강북구 번동 돌곶이로,,,,127.0596613,37.60876877
서울특별시 강북구 수유동 솔매로45길,,,,127.024932,37.62716521
서울특별시 강서구 마곡동 마곡중앙8로1길,,,,126.836451,37.56558458
서울특별시 강서구 가양동 양천로49길,,,,126.8402793,37.57135853
서울특별시 강서구 방화동 양천로24길,,,,126.8155249,37.56912164
서울특별시 강서구 등촌동 공항대로39길,,,,126.8445915,37.56138797
서울특별시 강서구 화곡동 곰달래로,,,,126.8527785,37.53123082
서울특별시 강서구 공항동 남부순환로,,,,126.8080738,37.55948123
서울특별시 강서구 등촌동 화곡로69길,,,,126.8515586,37.56200144
서울특별시 강서구 화곡동 강서로,,,,126.8387248,37.54386224
서울특별시 강서구 염창동 올림픽대로,,,,126.8428652,37.5748393
서울특별시 강서구 등촌동 양천로,,,,126.8461118,37.56523296
서울특별시 강서구 등촌동 등촌로51길,,,,126.8598045,37.549519
서울특별시 강서구 화곡동 화곡로,,,,126.8533742,37.557053
서울특별시 강서구 화곡동 강서로17길,,,,126.8415604,37.53249446
서울특별시 강서구 화곡동 가로공원로,,,,126.8400503,37.53817856
서울특별시 강서구 방화동 초원로,,,,126.8073292,37.56724161
서울특별시 강서구 화곡동 등촌로,,,,126.8631306,37.53691385
서울특별시 강서구 화곡동 강서로18길,,,,126.8484533,37.5338917
서울특별시 강서구 방화동 금낭화로,,,,126.8119169,37.57751855
서울특별시 강서구 화곡동 국회대로7길,,,,126.854898,37.52947124
서울특별시 강서구 화곡동 곰달래로49길,,,,126.8549928,37.53670454
서울특별시 강서구 가양동 양천로47길,,,,126.8370207,37.57499258
서울특별시 강서구 마곡동 마곡중앙로,,,,126.827376,37.56325234
서울특별시 강서구 방화동 양천로27길,,,,126.818958,37.57863924
서울특별시 강서구 화곡동 까치산로,,,,126.8536451,37.5523388
서울특별시 강서구 방화동 방화동로,,,,126.8094097,37.5631566
서울특별시 강서구 방화동 양천로,,,,126.8461118,37.56523296
서울특별시 강서구 등촌동 공항대로41길,,,,126.8466642,37.56115385
서울특별시 강서구 등촌동 강서로56길,,,,126.8419049,37.55931594
서울특별시 강서구 마곡동 공항대로,,,,126.8603264,37.55268326
서울특별시 강서구 등촌동 강서로68길,,,,126.8446949,37.56533197
서울특별시 강서구 화곡동 곰달래로53길,,,,126.859852,37.5335342
서울특별시 강서구 마곡동 마곡중앙5로,,,,126.8222505,37.5671195
서울특별시 강서구 공항동 공항대로,,,,126.8603264,37.55268326
서울특별시 강서구 공항동 발산로,,,,126.8183887,37.55383741
서울특별시 강서구 공항동 수원문산고속도로,,,,126.8165791,37.56606202
서울특별시 강서구 등촌동 화곡로65길,,,,126.8500583,37.55955165
서울특별시 강서구 등촌동 화곡로,,,,126.8533742,37.557053
서울특별시 강서구 가양동 공항대로,,,,126.8603264,37.55268326
서울특별시 강서구 마곡동 마곡중앙6로,,,,126.8324976,37.5604114
서울특별시 강서구 방화동 수원문산고속도로,,,,126.8165791,37.56606202
서울특별시 강서구 마곡동 마곡서로,,,,126.8240357,37.57159784
서울특별시 강서구 방화동 초원로16길,,,,126.8151707,37.5653271
서울특별시 강서구 등촌동 공항대로59길,,,,126.863172,37.55370508
서울특별시 강서구 등촌동 공항대로,,,,126.8603264,37.55268326
서울특별시 강서구 화곡동 강서로18다길,,,,126.8472566,37.53519766
서울특별시 강서구 화곡동 곰달래로31길,,,,126.8513844,37.53310905
서울특별시 강서구 가양동 양천로55길,,,,126.8498244,37.56587994
서울특별시 강서구 가양동 곰달래로,,,,126.8527785,37.53123082
서울특별시 강서구 내발산동 공항대로,,,,126.8603264,37.55268326
서울특별시 강서구 염창동 양천로,,,,126.8461118,37.56523296
서울특별시 강서구 화곡동 등촌로13길,,,,126.8585336,37.53911149
서울특별시 강서구 화곡동 우현로,,,,126.8445267,37.54716078
서울특별시 강서구 화곡동 공항대로,,,,126.8603264,37.55268326
서울특별시 강서구 마곡동 양천로,,,,126.8461118,37.56523296
서울특별시 강서구 마곡동 마곡중앙1로,,,,126.8215522,37.55856943
서울특별시 강서구 개화동 개화동로,,,,126.8044079,37.57104859
서울특별시 강서구 등촌동 등촌로,,,,126.8631306,37.53691385
서울특별시 강서구 화곡동 화곡로58길,,,,126.8526038,37.55310668
서울특별시 강서구 화곡동 월정로,,,,126.8392158,37.52881406
서울특별시 강서구 방화동 개화동로,,,,126.8044079,37.57104859
서울특별시 강서구 방화동 방화대로,,,,126.8158524,37.56317976
서울특별시 강서구 가양동 올림픽대로,,,,126.8428652,37.5748393
서울특별시 강서구 가양동 양천로,,,,126.8461118,37.56523296
서울특별시 강서구 가양동 화곡로73길,,,,126.853832,37.56770113
서울특별시 강서구 방화동 공항대로,,,,126.8603264,37.55268326
서울특별시 강서구 화곡동 강서로5나길,,,,126.8476283,37.52881255
서울특별시 강서구 화곡동 초록마을로,,,,126.8456235,37.54471944
서울특별시 강서구 화곡동 강서로5길,,,,126.848707,37.528259
서울특별시 강서구 내발산동 수명로,,,,126.8242267,37.55021381
서울특별시 강서구 내발산동 공항대로42길,,,,126.8435645,37.55625541
서울특별시 강서구 방화동 하늘길,,,,126.8059327,37.55801538
서울특별시 강서구 염창동 공항대로59다길,,,,126.869734,37.55117245
서울특별시 강서구 등촌동 공항대로45길,,,,126.8546889,37.55553077
서울특별시 강서구 등촌동 강서로,,,,126.8387248,37.54386224
서울특별시 강서구 화곡동 화곡로15길,,,,126.8345029,37.54114033
서울특별시 강서구 화곡동 등촌로13바길,,,,126.857614,37.53523021
서울특별시 강서구 가양동 허준로,,,,126.853547,37.56525413
서울특별시 강서구 가양동 화곡로,,,,126.8533742,37.557053
서울특별시 강서구 마곡동 마곡중앙12로,,,,126.8307288,37.56904598
서울특별시 강서구 내발산동 강서로,,,,126.8387248,37.54386224
서울특별시 강서구 개화동 김포대로,,,,126.798582,37.58218611
서울특별시 강서구 염창동 목동중앙본로,,,,126.8695407,37.54118191
서울특별시 강서구 화곡동 강서로41길,,,,126.8350716,37.54284413
서울특별시 강서구 마곡동 마곡중앙10로,,,,126.833647,37.56379388
서울특별시 강서구 염창동 공항대로,,,,126.8603264,37.55268326
서울특별시 강서구 등촌동 공항대로43길,,,,126.8503459,37.56003768
서울특별시 강서구 화곡동 가로공원로76길,,,,126.8368813,37.53576555
서울특별시 강서구 가양동 양천로57길,,,,126.8527389,37.56302419
서울특별시 강서구 마곡동 마곡중앙5로1길,,,,126.8265014,37.56943018
서울특별시 강서구 외발산동 오정로,,,,126.7998398,37.54507155
서울특별시 강서구 공항동 오정로,,,,126.7998398,37.54507155
서울특별시 강서구 방화동 방화대로47가길,,,,126.8144941,37.57928388
서울특별시 강서구 개화동 금포로,,,,126.8000127,37.5907068
서울특별시 관악구 신림동 광신길,,,,126.9307133,37.46707866
서울특별시 관악구 신림동 난곡로,,,,126.9192293,37.46338701
서울특별시 관악구 봉천동 관악로,,,,126.9552661,37.48520756
서울특별시 관악구 봉천동 보라매로,,,,126.9271869,37.49282984
